num,date,media_id,shortcode,display_url,video_url,width,height,tagged_users,post_id,post_shortcode,post_url,likes,liked,pinned,description,tags,location_id,location_slug,location_url,sidecar_media_id,sidecar_shortcode,owner_id,username,fullname,post_date,tag,count,category,subcategory,filename,extension,hashtag,coauthors,comment_count,comments,comment_sentiments,overall_sentiment,is_traditional
5,6/3/2021 5:48,2.59e+18,CPpZhZugpW1,https://instagram.fykz1-1.fna.fbcdn.net/v/t51.29350-15/195076320_382326836553267_6826632186490030857_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDYwNy5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=instagram.fykz1-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2AEtIEqOfFFL_GzLgFrRCWWNoROD-0OuVo8VDa-CHfLd5S_FZXdmd6BnYv3KXM8qj1U&_nc_ohc=sIQYX0_HpJQQ7kNvgHIvhbQ&_nc_gid=80a07382d0934303bc5c04b3c23edb96&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MjU4NzcxMTcwNzQzMDQyNjAzNw%3D%3D.3-ccb7-5&oh=00_AYCOTSAPopMpIprvcrclOvsZaNT_b3GoVnwM6HhNf4cAbQ&oe=67AF37CC&_nc_sid=472314,,1080,607,[],2.59e+18,CPpZhe7gyYy,https://www.instagram.com/p/CPpZhe7gyYy/,23,False,[],"Sunset 2021

#china #hefei #anhui #happylife #hefeicity #chinesesky #chinesenewyear2021 #chine #xinniankuaile #zhongfa #lifeinchina #livinginchina #chineseskyscrapers #instasunset #instachina #china🇨🇳 #chinatravel #chinalife #chinaphotography #chinaglaze  #中法 #合肥 #住在合肥 #朋友 #爱 #hefeichina #hefeichinalife","['#anhui', '#china', '#chinaglaze', '#chinalife', '#chinaphotography', '#chinatravel', '#chine', '#chinesenewyear2021', '#chinesesky', '#chineseskyscrapers', '#happylife', '#hefei', '#hefeichina', '#hefeichinalife', '#hefeicity', '#instachina', '#instasunset', '#lifeinchina', '#livinginchina', '#xinniankuaile', '#zhongfa', '#中法', '#住在合肥', '#合肥', '#朋友', '#爱']",1910000000000000.0,china-hefei,https://www.instagram.com/explore/locations/1906375739670562/china-hefei/,2.59e+18,CPpZhe7gyYy,1414873302,laurelineclaeys,Lauréline L. Claeys,6/3/2021 5:48,chineseskyscrapers,5,instagram,tag,195076320_382326836553267_6826632186490030857_n,jpg,chineseskyscrapers,,0,[],[],0.0,False
2,9/14/2020 12:22,2.4e+18,CFHeUpyBvcf,https://instagram.fykz1-2.fna.fbcdn.net/v/t51.29350-15/119587377_680470556223484_777190006247028864_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDE3eDEyNzMuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fykz1-2.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2AEtIEqOfFFL_GzLgFrRCWWNoROD-0OuVo8VDa-CHfLd5S_FZXdmd6BnYv3KXM8qj1U&_nc_ohc=YkkhM1Ihv64Q7kNvgG9Wb6B&_nc_gid=80a07382d0934303bc5c04b3c23edb96&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MjM5ODAxODY4NzI0NTY3ODM2Nw%3D%3D.3-ccb7-5&oh=00_AYAr-bgtVR-6VXNQu1XnWJYvrJWmW8qSQBkOP7jtPdsKwA&oe=67AF637D&_nc_sid=472314,,1017,1273,[],2.4e+18,CFHeUs8h-YJ,https://www.instagram.com/p/CFHeUs8h-YJ/,153,False,[],"half of the world's tallest buildings are in mainland China🏆

Половина із топ-10 найвищих будівель світу знаходяться у Піднебесній.
Найновіший зі списку китайських хмарочосів-рекордсменів - пекінська #CiticTower
528-метрова гігантеса зі сталі і скла змінила столичний скайлайн у 2018-му. 
Її лаконічні обриси, натхненні церемоніальною вазою для вина ""цзунь"", надовго залишаться домінантою у ландшафті Пекіну.
Ііііі швидко вилетять із світової десятки😉 

Нинішній державний циркуляр у сфері містобудування обмежує ""зріст"" нових хмарочосів відміткою у 500 метрів. І, що важливіше, закликає відмовитись від ""дивакуватих, ксеноцентричних форм та бездумних запозичень"" на користь екологічної забудови та архітектурної самобутності... Здається, Китай вже награвся у копіпаст☺️ І хоча мені подобаються результати останніх десятиліть, коли мегаполіси КНР були плацдармом для виру ідей іноземних архітекторів, я вже у передчутті ""нової старої"" далекосхідної естетики🎎🌇

...а Citic Tower буде особливою для мене безвідносно рейтингів. Її срібні відблиски ми спостерігали щоранку із вікна нашої пекінської кухні🤗
Що показує вам ваше вікно, друзі?

#ПекінПрекрасний #caprano_中国🇨🇳","['#CiticTower', '#caprano_中国', '#ПекінПрекрасний']",238431912.0,citic-tower,https://www.instagram.com/explore/locations/238431912/citic-tower/,2.4e+18,CFHeUs8h-YJ,3098740174,caprano.diem,In Sy,9/14/2020 12:22,chineseskyscrapers,4,instagram,tag,119587377_680470556223484_777190006247028864_n,jpg,chineseskyscrapers,,60,"['@svetakhaenko це так затишно звучить🤗 шовковиця - дерево із китайських поезій👘😉', 'У мене з вікна видно шовковицю і ще мою, дитячу гойдалку😊❤️', '@danyliuk_ira це правда ☺️ у Китаї мегаполіси вражають', 'Ого 😮 скільки у вас висоток', '@ksanhel думаю, ці зміни на краще🤗🤗🤗', '@ksanhel як гарно, зіронько🤗', '@gordivska_lyubov романтично уповні😍', 'Шматок червоної черепичної криші сусідів і буяння квітів 😉', '@travelblog_ua Катю, так цікаво, я ніколи не була на Близькому Сході🕌', '@caprano.diem там в регіоні всі змагаються у кого більше 😂😂😂 мені здається саудити хотіли відбудувати 😅', '@travelblog_ua ох, правда, не чула про це🙈  якось читала, що раніше хмарочоси були до певної міри необхідністю, а після 60-го поверху - лише символом багатіючої нації', '@caprano.diem там наче хтось з сусідів уже мало не будував кілометрову 🙈🙈🙈', '@alina_in_aussieland вау, ось це справжній колорит😍😍😍', '@travelblog_ua мені здається, її вже навряд обженуть - змінилось бачення, тенденції, гоу грін, всі діла😉 Інші часи, інші цінності💛', 'О халіфу ще ніхто не переплюнув. У мене з вікна будинок з башенками наче замок 😊']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'neutral', 'negative', 'positive', 'neutral', 'positive']",0.666666667,False
1,3/6/2020 2:15,2.26e+18,B9YAPVbhQgb,https://instagram.fykz1-1.fna.fbcdn.net/v/t51.2885-15/82926517_213592803087062_653241873961035316_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDF4NjQwLnNkci5mMjg4NS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fykz1-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2AH53PshkxcOb-MUiLKD3pD0aO4z4KHAG7Dx87t8tTk8eZigTJxY_nAqHwALC6febVk&_nc_ohc=XrvaJYd_mLAQ7kNvgGWPDFX&_nc_gid=5f3a871e0e1041698e35d6ad3aea5c64&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MjI1ODU1NjI2NjkyODczNjI4Mw%3D%3D.3-ccb7-5&oh=00_AYD9ihlTmeYOtaKbPS0mpRObebzSdMN-DsRA1GrvIbgGjA&oe=67AF5119&_nc_sid=472314,,641,640,[],2.26e+18,B9YAPVbhQgb,https://www.instagram.com/p/B9YAPVbhQgb/,16,False,[],🚁🇨🇳✈️🦠👑 #china #shanghai #skyline #skylinephotography #chineseskyline #chineseskyscrapers #throwbackthursday #tbt #travel #traveler #backpacker #aroundtheworld #,"['#aroundtheworld', '#backpacker', '#china', '#chineseskyline', '#chineseskyscrapers', '#shanghai', '#skyline', '#skylinephotography', '#tbt', '#throwbackthursday', '#travel', '#traveler']",106000000000000.0,shanghai,https://www.instagram.com/explore/locations/106324046073002/shanghai/,,,14331175,frankogarcia,Franco,3/6/2020 2:15,chineseskyscrapers,1,instagram,tag,82926517_213592803087062_653241873961035316_n,jpg,chineseskyscrapers,,0,[],[],0.0,False
1,7/11/2021 15:37,2.62e+18,CRMTHZ_DWaQ,https://instagram.fykz1-1.fna.fbcdn.net/v/t51.29350-15/214337868_136983385144289_2284760058838414592_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fykz1-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2AEtIEqOfFFL_GzLgFrRCWWNoROD-0OuVo8VDa-CHfLd5S_FZXdmd6BnYv3KXM8qj1U&_nc_ohc=FYvooR00crcQ7kNvgGk3u29&_nc_gid=80a07382d0934303bc5c04b3c23edb96&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MjYxNTU0OTU1NTQxNjg1MjExMg%3D%3D.3-ccb7-5&oh=00_AYCR9QHydOidAXIeSqjIjQC5xP1YhhMg8KaaOd2dsrv2Cw&oe=67AF36AF&_nc_sid=472314,,1440,1440,[],2.62e+18,CRMTHZ_DWaQ,https://www.instagram.com/p/CRMTHZ_DWaQ/,42,False,[],"Postcard from Shenyang❤️
*
*
*
#shenyang #shenyangcity #shenyangliaoning #shenyangjianzhuuniversity #shenyangjianzhu #jianzhudaxue #shenyangchina #shenyanglife #shenyangtrip #summercamp #ig_shenyang #visitshenyang #postcardplaces #skyscrapers #chineseskyline #skyline #chineseskyscrapers #china🇨🇳 #chinalove #visitchina #chinagram #ig_china #mytraveldiary #travelgram #globetrotter #iamtraveler #neverstopexploring","['#china', '#chinagram', '#chinalove', '#chineseskyline', '#chineseskyscrapers', '#globetrotter', '#iamtraveler', '#ig_china', '#ig_shenyang', '#jianzhudaxue', '#mytraveldiary', '#neverstopexploring', '#postcardplaces', '#shenyang', '#shenyangchina', '#shenyangcity', '#shenyangjianzhu', '#shenyangjianzhuuniversity', '#shenyangliaoning', '#shenyanglife', '#shenyangtrip', '#skyline', '#skyscrapers', '#summercamp', '#travelgram', '#visitchina', '#visitshenyang']",359150351.0,shenyang,https://www.instagram.com/explore/locations/359150351/shenyang/,,,234858865,timi.travels,Timi • 陈小兰 | Travel & Food,7/11/2021 15:37,chineseskyscrapers,1,instagram,tag,214337868_136983385144289_2284760058838414592_n,jpg,chineseskyscrapers,,0,[],[],0.0,False
1,1/19/2023 3:42,3.02e+18,CnlQJC2oVhS,https://instagram.fykz1-2.fna.fbcdn.net/v/t51.29350-15/326138111_3629151077318029_5341947249878671249_n.webp?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fykz1-2.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2AEtIEqOfFFL_GzLgFrRCWWNoROD-0OuVo8VDa-CHfLd5S_FZXdmd6BnYv3KXM8qj1U&_nc_ohc=8DF4tnObOnUQ7kNvgGRXFts&_nc_gid=80a07382d0934303bc5c04b3c23edb96&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzAxODg5MDExNTUwNTI4MTEwNg%3D%3D.3-ccb7-5&oh=00_AYAcXGyEsGd9-xEGpQHE1pHHN7P8ia2NmI99g-Xlyc72iQ&oe=67AF38BC&_nc_sid=472314,,1440,1080,[],3.02e+18,CnlQJC2oVhS,https://www.instagram.com/p/CnlQJC2oVhS/,14,False,[],"Sunset over Hongkou district in Shanghai

#china🇨🇳 #china #hongkoudistrict #shanghai #sunset #skyscraper #chineseskyscrapers #modernchina #modernarchitecture","['#china', '#chineseskyscrapers', '#hongkoudistrict', '#modernarchitecture', '#modernchina', '#shanghai', '#skyscraper', '#sunset']",106000000000000.0,shanghai,https://www.instagram.com/explore/locations/106324046073002/shanghai/,,,50307745843,geoffreyinchina,Geoffrey Bonnel,1/19/2023 3:42,chineseskyscrapers,1,instagram,tag,326138111_3629151077318029_5341947249878671249_n,jpg,chineseskyscrapers,,2,"['Pretty 🙌', 'Wow send pic😍\n👇\n@pictures_diaries💫']","['positive', 'positive']",1.0,False
1,3/21/2024 11:13,3.33e+18,C4xjMxCtvOq,https://instagram.fykz1-1.fna.fbcdn.net/v/t51.29350-15/434023655_775744411142912_3725933789474856919_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MTguc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fykz1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2AEtIEqOfFFL_GzLgFrRCWWNoROD-0OuVo8VDa-CHfLd5S_FZXdmd6BnYv3KXM8qj1U&_nc_ohc=n_rYSrnrP_IQ7kNvgGuTlPV&_nc_gid=80a07382d0934303bc5c04b3c23edb96&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzMyODU5NjQwODUyNDAxMDQxMA%3D%3D.3-ccb7-5&oh=00_AYBFTbcfaQk6Nkdj4mYceTUMjtCGiNnou4i4OpjLayChlg&oe=67AF4695&_nc_sid=472314,,1440,1818,[],3.33e+18,C4xjMxCtvOq,https://www.instagram.com/p/C4xjMxCtvOq/,11,False,[],"Shanghai World Financial Centre, nicknamed the ""handbag building"", is distinctive on Shanghai's Pudong skyline, but a little more elusive from this angle. It was designed by Kohn Pedersen Fox and completed in 2007.

#shanghaiworldfinancialcenter #pudong #shanghai #handbagbuilding #awesomearchitecture #chineseskyscrapers #tallestbuildings #glassandsteel #travelphotography #architecturalphotography #bigbeautifulbuildings #blueskyshanghai #kohnpedersonfox #SWFC #leicaphotography #shotonleica #shanghaispring #shimmer #curvy","['#SWFC', '#architecturalphotography', '#awesomearchitecture', '#bigbeautifulbuildings', '#blueskyshanghai', '#chineseskyscrapers', '#curvy', '#glassandsteel', '#handbagbuilding', '#kohnpedersonfox', '#leicaphotography', '#pudong', '#shanghai', '#shanghaispring', '#shanghaiworldfinancialcenter', '#shimmer', '#shotonleica', '#tallestbuildings', '#travelphotography']",,,,,,60073659843,interiorphotoscorbiephillips,,3/21/2024 11:13,chineseskyscrapers,1,instagram,tag,434023655_775744411142912_3725933789474856919_n,jpg,chineseskyscrapers,,2,"['@gangsta.gran Yes! And I was looking at those pictures yesterday. I have a full documentation from hole in the ground to opening!! ❤️❤️ Completely obsessed 😂', 'Memories of your beloved Shard? 😘']","['positive', 'positive']",1.0,False
1,9/25/2020 3:59,2.41e+18,CFi5mu-gsfC,https://instagram.fykz1-1.fna.fbcdn.net/v/t51.29350-15/120085370_2632401147070719_4924076006555510018_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDYwOC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=instagram.fykz1-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2AEtIEqOfFFL_GzLgFrRCWWNoROD-0OuVo8VDa-CHfLd5S_FZXdmd6BnYv3KXM8qj1U&_nc_ohc=iFcvRWOu2tUQ7kNvgGIEsh0&_nc_gid=80a07382d0934303bc5c04b3c23edb96&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MjQwNTczODUwMTQwMTM5NzE4Ng%3D%3D.3-ccb7-5&oh=00_AYDu_cfQ7uyz2VxPC5Q3ha2Wv9EBOjEWDsS3ld-1WZZIFw&oe=67AF468F&_nc_sid=472314,,1080,608,[],2.41e+18,CFi5mu-gsfC,https://www.instagram.com/p/CFi5mu-gsfC/,15,False,[],"Giant laser war machine. This is one of the bizarre building in china containing shooping mall and office.
I tried to take the long exposure of this building while bus passes infront of  it creating the illusion that its shooting the laser bullet.

#illustion
#building
#bizarre
#guangzhou #chineseskyscrapers #chinatravel #chinadaily #thatsguangzhou #guangzhoucity #guangzhouchina🇨🇳 #buildinganempire #dailyphoto #natgeoyourshot #yourshotphotographer #natgeochina #natgeophotography #natgeodailyshot #cityphotography #cityscapes #longexposure #nightphotography #bbcearth #lights @guangzhou @chinadailynews @guangzhou_insider @thatsguangzhou @cityscapes_of_chin
@china_city_is 
#architectecture","['#architectecture', '#bbcearth', '#bizarre', '#building', '#buildinganempire', '#chinadaily', '#chinatravel', '#chineseskyscrapers', '#cityphotography', '#cityscapes', '#dailyphoto', '#guangzhou', '#guangzhouchina', '#guangzhoucity', '#illustion', '#lights', '#longexposure', '#natgeochina', '#natgeodailyshot', '#natgeophotography', '#natgeoyourshot', '#nightphotography', '#thatsguangzhou', '#yourshotphotographer']",215040757.0,guangzhou,https://www.instagram.com/explore/locations/215040757/guangzhou/,,,12407162970,kapildattaphotography,kapildatta,9/25/2020 3:59,chineseskyscrapers,1,instagram,tag,120085370_2632401147070719_4924076006555510018_n,jpg,chineseskyscrapers,,0,[],[],0.0,False
2,6/7/2021 5:02,2.59e+18,CPzngQIAMSA,https://instagram.fykz1-1.fna.fbcdn.net/v/t51.29350-15/197431389_532538058155806_6799893750690106859_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fykz1-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2AEtIEqOfFFL_GzLgFrRCWWNoROD-0OuVo8VDa-CHfLd5S_FZXdmd6BnYv3KXM8qj1U&_nc_ohc=GQHmGcZ0Hb8Q7kNvgFir59z&_nc_gid=80a07382d0934303bc5c04b3c23edb96&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MjU5MDU4Nzk1MDgxOTQ5Mjk5Mg%3D%3D.3-ccb7-5&oh=00_AYCA13pLk3c6e7F66wUmlQvJkorfWAuqIK859yG_FPfMIA&oe=67AF5C9B&_nc_sid=472314,,1080,1350,[],2.59e+18,CPzngUaAqm6,https://www.instagram.com/p/CPzngUaAqm6/,17,False,[],"Hefei 2021

#china #hefei #anhui #happylife #hefeicity #chinesearchitecture #chinesenewyear2021 #chine #xinniankuaile #zhongfa #lifeinchina #livinginchina #chineseskyscrapers #instasunset #instachina #china🇨🇳 #chinatravel #chinalife #chinaphotography #chinaglaze  #中法 #合肥 #住在合肥 #朋友 #爱 #hefeichina #hefeichinalife","['#anhui', '#china', '#chinaglaze', '#chinalife', '#chinaphotography', '#chinatravel', '#chine', '#chinesearchitecture', '#chinesenewyear2021', '#chineseskyscrapers', '#happylife', '#hefei', '#hefeichina', '#hefeichinalife', '#hefeicity', '#instachina', '#instasunset', '#lifeinchina', '#livinginchina', '#xinniankuaile', '#zhongfa', '#中法', '#住在合肥', '#合肥', '#朋友', '#爱']",1910000000000000.0,china-hefei,https://www.instagram.com/explore/locations/1906375739670562/china-hefei/,2.59e+18,CPzngUaAqm6,1414873302,laurelineclaeys,Lauréline L. Claeys,6/7/2021 5:02,chineseskyscrapers,7,instagram,tag,197431389_532538058155806_6799893750690106859_n,jpg,chineseskyscrapers,,0,[],[],0.0,False
1,6/14/2017 19:14,1.54e+18,BVVNHjEA3Cn,https://instagram.fykz1-2.fna.fbcdn.net/v/t51.2885-15/32767195_369713683539721_5475298173788356608_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44NzZ4ODc2LnNkci5mMjg4NS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fykz1-2.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2AH53PshkxcOb-MUiLKD3pD0aO4z4KHAG7Dx87t8tTk8eZigTJxY_nAqHwALC6febVk&_nc_ohc=aAXekqMtK1QQ7kNvgEpLGIJ&_nc_gid=5f3a871e0e1041698e35d6ad3aea5c64&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MTUzNzE5MjU0MTEwNjE3MjA3MQ%3D%3D.3-ccb7-5&oh=00_AYDprrvPjEl5LVUmClLrm6Eg3AWZRSsQI31_1aoei0yI1w&oe=67AF47F4&_nc_sid=472314,,876,876,[],1.54e+18,BVVNOX1gbYn,https://www.instagram.com/p/BVVNOX1gbYn/,38,False,[],"Чего только не сделаешь, чтобы оказаться в рейтинге самых высоких зданий планеты! Первоначальный проект башен Greenland Central Plaza в китайском городе Наньчан «подрос» на 14 метров, чтобы попасть в список трёхсотметровых строений - их высота составила 303 метра. Но из-за этого нагрузка на основание сильно увеличивалась, и поэтому архитекторам пришлось пойти на хитрость - установить в верхней части небоскрёба конструкцию из поворачивающихся стеклянных жалюзи, чтобы сквозь отверстия беспрепятственно проходил ветер. Но интересны и сами стёкла! У основания здание квадратное в плане, но чем выше оно становится, тем более закруглённым становится фасад. Чтобы добиться такого эффекта, строители использовали панели, созданные при помощи технологии «холодного сгибания», благодаря чему можно добиться любой формы оконного стекла.

#capitalgroup #москва #skyscraper #lifestyle #небоскребы #стильжизни #мегаполис #инновациистроительства #китай #GreenlandCentralPlaza #стекло #china🇨🇳 #chineseskyscrapers #технология #вышетольколюбовь","['#GreenlandCentralPlaza', '#capitalgroup', '#china', '#chineseskyscrapers', '#lifestyle', '#skyscraper', '#вышетольколюбовь', '#инновациистроительства', '#китай', '#мегаполис', '#москва', '#небоскребы', '#стекло', '#стильжизни', '#технология']",,,,1.54e+18,BVVNOX1gbYn,4361197842,skyscraperslifestyle,SkyscrapersLifestyle,6/14/2017 19:15,chineseskyscrapers,3,instagram,tag,32767195_369713683539721_5475298173788356608_n,jpg,chineseskyscrapers,,2,"['Куда еще хотите сьездить ?', 'Wow!']","['positive', 'positive']",1.0,False
1,2/26/2023 14:49,3.05e+18,CpISowSMyvV,https://instagram.fykz1-1.fna.fbcdn.net/v/t51.29350-15/329840462_521825550133464_3357982559310907750_n.webp?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fykz1-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2AEtIEqOfFFL_GzLgFrRCWWNoROD-0OuVo8VDa-CHfLd5S_FZXdmd6BnYv3KXM8qj1U&_nc_ohc=cfCBEPiWezoQ7kNvgF-Ffde&_nc_gid=80a07382d0934303bc5c04b3c23edb96&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzA0Njc2NzExMzM3NzM2MDg1Mw%3D%3D.3-ccb7-5&oh=00_AYAJ8NS1_wfrSCFge_I_HTecu9pfQipBphnyWewcB7Clzw&oe=67AF63CD&_nc_sid=472314,,1440,1440,[],3.05e+18,CpISowSMyvV,https://www.instagram.com/p/CpISowSMyvV/,17,False,[],"A 24/7 free public park

#china🇨🇳 #china #shanghai #hongkou #hongkoudistrict #peacepark #park #publicpark #shanghaipark #lake #skyscraper #shanghaiskyscrapers #chineseskyscrapers #bluesky #上海 #虹口区 #虹口 #和平公园","['#bluesky', '#china', '#chineseskyscrapers', '#hongkou', '#hongkoudistrict', '#lake', '#park', '#peacepark', '#publicpark', '#shanghai', '#shanghaipark', '#shanghaiskyscrapers', '#skyscraper', '#上海', '#和平公园', '#虹口', '#虹口区']",106000000000000.0,shanghai,https://www.instagram.com/explore/locations/106324046073002/shanghai/,,,50307745843,geoffreyinchina,Geoffrey Bonnel,2/26/2023 14:49,chineseskyscrapers,1,instagram,tag,329840462_521825550133464_3357982559310907750_n,jpg,chineseskyscrapers,,1,['Follow @maddenstravels ?🌄😍'],['positive'],1.0,False
